PDB_ID,Canonical SMILES
10gs,O=C(N[C@H](C(=O)N[C@H](c1ccccc1)C(=O)[O-])CSCc1ccccc1)CC[C@@H](C(=O)[O-])[NH3+]
11gs,CC[C@H](C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)[O-])CSC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+]
13gs,[O-]C(=O)C1=C/C(=N\Nc2ccc(cc2)S(=O)(=O)Nc2ccccn2)/C=CC1=O
16pk,O[C@@H]1[C@@H](CO[P@@](=O)(O[P@](=O)(C(CCCC(P(=O)([O-])[O-])(F)F)(F)F)[O-])[O-])O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
184l,CC(Cc1ccccc1)C
185l,c1ccc2c(c1)[nH]cc2
186l,CCCCc1ccccc1
187l,Cc1ccc(cc1)C
188l,Cc1ccccc1C
1a07,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C)CCC(=O)[O-])CCCCC
1a08,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)C(P(=O)([O-])[O-])(F)F)NC(=O)C)CCC(=O)[O-])CCCCC
1a09,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(c(c1)CO)OP(=O)([O-])[O-])NC(=O)C)CCC(=O)[O-])CCCCC
1a0q,CCCC[C@@H]([P@](=O)(Oc1ccccc1)[O-])NC(=O)CCC(=O)[O-]
1a0t,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O
1a1b,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(=O)([O-])[O-])NC(=O)C)CCC(=O)[O-])CCCCC
1a1c,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N(CCCC1CCCC1)C)CCC(=O)[O-])Cc1ccc(cc1)OP(=O)([O-])[O-]
1a1e,CCCC[C@@H]1CCCN(C1)C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(=O)([O-])[O-])NC(=O)C)CCC(=O)[O-]
1a28,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C
1a2c,CC(C[C@@H](C(=O)N1[C@H]2C[C@H](O)CC[C@H]2C[C@H]1C(=O)N[C@H](C(=O)[O-])CCCNC(=[NH2+])N)NC(=O)[C@@H](Cc1ccc(cc1)O)O)C
1a30,CC(C[C@@H](C(=O)[O-])NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)[O-])[NH3+])CC(=O)[O-])C
1a37,[NH3+]CC(=O)NCC(=O)NCC(=O)N[C@H](C(=O)NCC(=O)NCC(=O)NCC(=O)O)COP(O)(O)O
1a3e,[NH3+]CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])C)Cc1ccc(cc1)O)CCC(=O)[O-])[C@H](CC)C)CCC(=O)[O-])CCC(=O)[O-])Cc1ccccc1)CC(=O)[O-]
1a42,CC[NH2+][C@H]1CN(CCOCC)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
1a46,[NH3+]CCCC[C@@H](C(=O)C(=O)NC1CCCCC1)NC(=O)[C@@H]1CC[N@@]2N1C(=O)[C@](CC2)([NH3+])Cc1ccccc1
1a4g,OC[C@H]([C@H]([C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)NC(=[NH2+])N)C(=O)[O-])O)O
1a4h,CO[C@H]1C[C@@H](C)CC2=C(OC)C(=O)C=C(C2=O)NC(=O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=O)N)OC)/C
1a4k,[O-]C(=O)COC(=O)N[C@]12CC[C@H](CC1)[C@@H]1[C@H]2C(=O)N(C1=O)c1ccc(cc1)NC(=O)C
1a4m,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc[nH]c2=O
1a4q,CCCN(C(=O)[C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)[NH3+])C(=O)[O-])CCc1ccccc1
1a4r,O[C@@H]1[C@@H](CO[P@](=O)(O[P@](=O)(N)[O-])[O-])O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
1a4w,O=C(N1CCCC[C@@H]1CCC(=O)c1nccs1)[C@@H](NS(=O)(=O)c1cccc2c1cccc2N(C)C)CCCNC(=[NH2+])N
1a50,Fc1ccc2c(c1)c(CCCOP(=O)([O-])[O-])c[nH]2
1a52,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C
1a5g,NC(=[NH2+])NCCC[C@@H]([C@@H](C(=O)NCCc1ccccc1)O)NC(=O)[C@@H]1CC[N@@H+]2N1C(=O)[C@](CC2)([NH3+])Cc1ccccc1
1a5h,O=C1[C@@H](CCCC[C@H]1Cc1ccc(cc1)C(=[NH2+])N)Cc1ccc(cc1)C(=[NH2+])N
1a5v,CC(=O)Nc1cc(cc2c1c(O)cc(c2)S(=O)(=O)[O-])S(=O)(=O)[O-]
1a61,O=C([C@@H]1CC[N@@H+]2N1C(=O)[C@](CC2)([NH3+])Cc1ccccc1)N[C@H]([C@@H](c1nccs1)O)CCCNC(=[NH2+])N
1a69,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c2c1nc[nH]c2=O
1a7c,OC[C@@H](C(=O)N[C@H](C(=O)N)CO)NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@H](O)C)NC(=O)C)C
1a7t,[O-]S(=O)(=O)CCN1CCOCC1
1a7x,CO[C@H]1C[C@@H](C)C/C(=C/[C@@H](CCOC(=O)NCc2ccccc2)C(=O)C[C@H](O)[C@H]([C@H](OC(=O)[C@H]2N(C(=O)C(=O)[C@@]3(O[C@H]1[C@@H](OC)C[C@H]3C)O)CCCC2)/C(=C/[C@@H]1CC[C@H]([C@@H](C1)OC)O)/C)C)/C
1a85,ONC(=O)[C@H](C(=O)N[C@H](C(=O)NCc1cccc(c1)N)CC(=O)N)CC(C)C
1a86,ONC(=O)[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)CC(=O)[O-])CC(C)C
1a8i,OC[C@H]1O[C@@]2(NC(=O)NC2=O)[C@@H]([C@H]([C@@H]1O)O)O
1a8t,CCCCc1nc2ccc(cc2c(=O)n1Cc1ccc(cc1)c1ccccc1c1nnn[nH]1)O
1a94,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)/N=C/[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+])CC(C)C)CCC(=O)[O-])C
1a99,[NH3+]CCCC[NH3+]
1a9m,NC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)CCCNC(=[NH2+])N)NC(=O)[C@H](C(C)C)C[C@@H]([C@@H](NC(=O)C)CC1CCCCC1)O
1a9q,O=c1[nH]cnc2c1nc[nH]2
1a9u,Fc1ccc(cc1)c1[nH]c(nc1c1ccncc1)c1ccc(cc1)[S@@](=O)C
